Number of vertexes,Number of edges,Time
100,5000,0.009
150,11250,0.03
200,20000,0.05
250,31250,0.093
300,45000,0.106
350,61250,0.147
400,80000,0.208
450,101250,0.266
500,125000,0.319
550,151250,0.37
600,180000,0.416
650,211250,0.468
700,245000,0.555
750,281250,0.685
800,320000,0.81
850,361250,0.905
900,405000,0.949
950,451250,1.184
1000,500000,1.22
1050,551250,1.375
1100,605000,1.579
1150,661250,1.67
1200,720000,1.864
1250,781250,2.019
1300,845000,2.16
1350,911250,2.505
1400,980000,2.917
1450,1051250,3.031
1500,1125000,3.263
1550,1201250,3.221
